,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1453,CHEMBL500631,CCc1nc(Cc2ccccc2)[nH]c1C1CCN(C[C@H]2CN([C@H](CC3CCC3)C(=O)O)C[C@@H]2c2ccccc2)CC1,active,554.7790000000002,6.101300000000006,2.0,4.0,9.243972787026559
1454,CHEMBL472412,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3[nH]c(Cc4ccccc4)nc3Cl)CC2)[C@@H](c2ccccc2)C1,active,561.1700000000002,6.192300000000007,2.0,4.0,9.221993538576491
1455,CHEMBL364070,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(n3cnc4ccccc43)CC2)[C@@H](c2ccccc2)C1,active,500.68700000000024,5.422300000000005,1.0,5.0,8.602059991327963
1456,CHEMBL474838,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3nnc4ccccn34)CC2)[C@@H](c2cccc(F)c2)C1,active,505.6380000000002,4.406800000000004,1.0,6.0,7.921180816901152
1457,CHEMBL475606,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cnc4cccnn34)CC2)[C@@H](c2cccc(F)c2)C1,active,505.6380000000002,4.406800000000004,1.0,6.0,8.523023534240473
1458,CHEMBL475777,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cn4ccccc4n3)CC2)[C@@H](c2cccc(F)c2)C1,inactive,504.6500000000002,5.0118000000000045,1.0,5.0,7.18701983396052
1459,CHEMBL173095,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@H](CC3CCC3)C(=O)O)C[C@@H]2c2cccc(F)c2)CC1,active,572.7690000000002,6.171300000000007,1.0,5.0,8.92118081690115
1460,CHEMBL352514,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C3CCC3)C[C@@H]2c2ccccc2)CC1,active,540.7520000000002,5.6421000000000054,1.0,5.0,8.795880017344075
1461,CHEMBL172854,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1,active,560.7580000000002,6.027200000000007,1.0,5.0,9.097018600202498
1462,CHEMBL435727,CCC(CC)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccccc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,active,574.7850000000003,6.417300000000007,1.0,5.0,9.04599883231843
1463,CHEMBL353827,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(c3[nH]ncc3Cc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,540.7520000000002,5.929000000000006,2.0,4.0,8.319030281534102
1464,CHEMBL367421,CCCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,582.8330000000003,6.812400000000007,1.0,5.0,8.336959025106026
1465,CHEMBL366536,CCCCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,596.8600000000004,7.202500000000009,1.0,5.0,8.523023534240473
1466,CHEMBL499793,CC(C)(c1ccccc1)c1cc(C2CCN(C[C@H]3CN([C@@H](C(=O)O)C4CCCCC4)C[C@@H]3c3ccccc3)CC2)[nH]n1,active,568.8060000000002,6.664100000000007,2.0,4.0,7.938924676370208
1467,CHEMBL419895,OC1(CCCc2cccnc2)CCN(C[C@H]2CN(CC3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,475.7210000000004,5.527100000000006,1.0,4.0,8.221848749616356
1468,CHEMBL103268,O=C(O)c1ccccc1CCCC1(O)CCN(C[C@H]2CN(CC3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,518.7420000000003,5.8303000000000065,2.0,4.0,7.0
1469,CHEMBL318909,O=C(O)c1cccc(CCCC2(O)CCN(C[C@H]3CN(CC4CCCCC4)C[C@@H]3c3ccccc3)CC2)c1,active,518.7420000000004,5.8303000000000065,2.0,4.0,8.522878745280337
1470,CHEMBL319689,O=C(O)c1ccc(CCCC2(O)CCN(C[C@H]3CN(CC4CCCCC4)C[C@@H]3c3ccccc3)CC2)cc1,active,518.7420000000004,5.8303000000000065,2.0,4.0,8.0
1471,CHEMBL319593,OC1(CCCc2ccc(-c3nnn[nH]3)cc2)CCN(C[C@H]2CN(CC3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,542.7720000000004,5.312200000000005,2.0,6.0,9.698970004336019
1472,CHEMBL101961,O=C(O)[C@@H](c1ccccc1)N1C[C@H](CN2CCC(O)(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,512.6940000000003,5.377700000000006,2.0,4.0,9.096910013008056
1473,CHEMBL318210,CC(C)[C@H](C(=O)O)N1C[C@H](CN2CCC(O)(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,478.6770000000002,4.661000000000004,2.0,4.0,8.698970004336019
1474,CHEMBL102675,C[C@H](C(=O)O)N1C[C@H](CN2CCC(O)(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,450.6230000000001,4.024900000000003,2.0,4.0,8.522878745280337
1475,CHEMBL102674,O=C(O)CN1C[C@H](CN2CCC(O)(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,436.5960000000001,3.6364000000000027,2.0,4.0,8.221848749616356
1476,CHEMBL318406,CC(C)[C@H](C(=O)O)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,462.67800000000017,5.546100000000005,1.0,3.0,9.154901959985743
1477,CHEMBL103782,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccccc2)C1,active,478.6520000000002,5.754200000000006,1.0,3.0,8.397940008672037
1478,CHEMBL318681,O=C(O)[C@@H](C1CC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,460.6620000000002,5.300100000000005,1.0,3.0,8.522878745280337
1479,CHEMBL316475,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,active,474.68900000000025,5.690200000000006,1.0,3.0,10.0
1480,CHEMBL137524,CCCN(c1ccccn1)C1CCN(C[C@H]2CN(C(=O)N3CCCC3)C[C@@H]2c2ccccc2)CC1,active,475.6810000000003,4.693800000000005,0.0,4.0,8.045757490560675
1481,CHEMBL138645,CCCN(c1ccccn1)C1CCN(C[C@H]2CN(C(=O)C3CCC3)C[C@@H]2c2ccccc2)CC1,active,460.6660000000003,4.804700000000005,0.0,4.0,8.0
1482,CHEMBL137072,CCCN(c1ccccn1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,488.72000000000037,5.584900000000006,0.0,4.0,7.920818753952375
1483,CHEMBL137206,C=CCN(c1cccnc1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,486.70400000000035,5.360900000000005,0.0,4.0,7.638272163982407
1484,CHEMBL137650,C=CCN(c1ccncc1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,486.70400000000035,5.360900000000005,0.0,4.0,7.180456064458132
1485,CHEMBL137038,CCCN(c1ncccn1)C1CCN(C[C@H]2CN([C@@H](C(=O)O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1,active,519.7340000000003,4.906500000000005,1.0,6.0,8.18045606445813
1486,CHEMBL281607,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(CCCc3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,524.6960000000003,6.358500000000007,1.0,3.0,9.096910013008056
1487,CHEMBL21147,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(CCCc3ccc(C(F)(F)F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,574.7030000000002,7.238200000000009,1.0,3.0,9.698970004336019
1488,CHEMBL470510,CC(C)C[C@H](C(=O)O)N1C[C@H](CN2CCC(CCS(=O)(=O)c3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,562.7230000000001,5.055500000000005,1.0,5.0,9.045757490560675
1489,CHEMBL20345,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(CCSc3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,542.7360000000002,6.518000000000008,1.0,4.0,10.0
1490,CHEMBL471920,CC(C)C[C@H](C(=O)O)N1C[C@H](CN2CCC(CCC(F)(F)c3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,548.6650000000001,6.763700000000007,1.0,3.0,9.301029995663981
1491,CHEMBL21106,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(CCC(F)(F)c3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,546.6490000000001,6.517700000000008,1.0,3.0,10.221848749616356
1492,CHEMBL21117,O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(CCC(F)(F)c3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,560.6760000000002,6.907800000000008,1.0,3.0,9.522878745280337
1493,CHEMBL20453,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(CCC(O)c3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,526.6680000000001,5.459300000000006,2.0,4.0,9.397940008672037
1494,CHEMBL417825,O=C(O)[C@@H](CC1CC1)N1C[C@H](CN2CCC(CCC(CO)c3ccc(F)cc3)CC2)[C@@H](c2cccc(F)c2)C1,active,540.6950000000002,5.501800000000006,2.0,4.0,8.318758762624412
1495,CHEMBL20598,CC(O)(CCC1CCN(C[C@H]2CN([C@H](CC3CC3)C(=O)O)C[C@@H]2c2cccc(F)c2)CC1)c1ccc(F)cc1,active,540.6950000000003,5.633400000000005,2.0,4.0,8.795880017344075
1496,CHEMBL283788,COC(=O)C(CCC1CCN(C[C@H]2CN([C@H](CC3CC3)C(=O)O)C[C@@H]2c2cccc(F)c2)CC1)c1ccc(F)cc1,active,568.7050000000004,5.682500000000005,1.0,5.0,8.823908740944319
1497,CHEMBL161594,c1ccc(C2CCN(C[C@@H]3[C@@H](c4ccccc4)CN4O[C@H](c5ccccc5)C[C@@H]34)CC2)cc1,active,438.61500000000024,6.026800000000006,0.0,3.0,7.522878745280337
1498,CHEMBL158438,CCN(C(=O)OCc1ccccc1)C1CCN(C[C@@H]2[C@@H](c3ccccc3)CN3O[C@H](c4ccccc4)C[C@@H]23)CC1,active,539.7200000000001,6.270300000000008,0.0,5.0,7.337242168318426
1499,CHEMBL539943,c1ccc(C2CCN(C[C@@H]3[C@@H](c4ccccc4)CN4OC5(CCCCC5)C[C@@H]34)CC2)cc1,active,430.6360000000004,5.988400000000007,0.0,3.0,7.481486060122112
1500,CHEMBL161480,CCN(C(=O)OCc1ccccc1)C1CCN(C[C@@H]2[C@@H](c3ccccc3)CN3OC4(CCCCC4)C[C@@H]23)CC1,active,531.7410000000003,6.2319000000000075,0.0,5.0,7.0655015487564325
1501,CHEMBL157983,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@@H]2[C@@H](c3ccccc3)CN3OC4(CCCCC4)C[C@@H]23)CC1,active,588.7490000000001,6.306200000000007,0.0,7.0,7.853871964321762
